code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,eu_left,eu_ctr,eu_lr,eu_rn
95018,Argenteuil,47,5,1263,545,540,43.15,65.74,5.74,3.33,20.19
95018,Argenteuil,48,5,1307,578,566,44.22,57.6,8.3,4.95,22.08
95018,Argenteuil,49,5,1348,583,577,43.25,58.93,8.32,2.95,22.18
95018,Argenteuil,50,5,1057,419,404,39.64,60.89,11.63,3.22,17.82
95019,Arnouville,1,8,1027,431,426,41.97,41.31,8.92,7.04,37.09
95019,Arnouville,2,8,971,426,418,43.87,46.41,4.31,4.55,39.0
95019,Arnouville,3,8,1310,624,610,47.63,37.87,8.36,4.75,44.1
95019,Arnouville,4,8,1140,416,408,36.49,49.26,6.62,3.43,33.58
95019,Arnouville,5,8,1079,448,441,41.52,39.68,9.3,4.99,39.68
95019,Arnouville,6,8,1153,461,446,39.98,37.67,10.76,6.28,38.79
95019,Arnouville,7,8,1240,513,505,41.37,39.6,12.08,6.34,35.64
95023,Arronville,1,1,463,274,271,59.18,22.51,15.13,12.55,41.33
95024,Arthies,1,1,195,110,107,56.41,27.1,6.54,9.35,49.53
95026,Asnières-sur-Oise,1,2,854,481,475,56.32,27.37,15.37,3.16,44.63
95026,Asnières-sur-Oise,2,2,679,398,394,58.62,27.16,13.96,6.85,44.42
95026,Asnières-sur-Oise,3,2,604,340,333,56.29,24.62,10.21,5.41,52.85
95028,Attainville,1,7,1225,650,638,53.06,27.12,10.34,7.99,46.87
95039,Auvers-sur-Oise,1,1,1119,675,661,60.32,36.76,15.58,6.2,33.59
95039,Auvers-sur-Oise,2,1,1133,659,645,58.16,39.07,12.4,4.81,33.95
95039,Auvers-sur-Oise,3,1,874,547,547,62.59,32.18,18.65,6.76,34.0
95039,Auvers-sur-Oise,4,1,944,536,526,56.78,33.08,16.35,6.65,37.07
95039,Auvers-sur-Oise,5,1,644,388,382,60.25,43.19,12.04,5.5,26.7
95039,Auvers-sur-Oise,6,1,579,337,331,58.2,31.42,19.64,4.23,37.16
95040,Avernes,1,1,677,432,422,63.81,26.78,15.64,9.24,38.86
95042,Baillet-en-France,1,2,1551,844,823,54.42,32.08,13.12,7.29,40.1
95046,Banthelu,1,1,105,69,65,65.71,33.85,10.77,7.69,44.62
