key,left_leg24,centre_leg24,right_leg24,far_right_leg24,left_leg22,centre_leg22,right_leg22,far_right_leg22,left_leg17,centre_leg17,right_leg17,far_right_leg17,left_pres22,centre_pres22,right_pres22,far_right_pres22,left_euro24,centre_euro24,right_euro24,far_right_euro24,winner_t2_24,proj_left,proj_rn,margin_left,scenario
1704,18.52,27.95,8.33,45.21,1.36,28.79,16.81,31.72,24.54,33.85,22.2,18.75,15.31,0.0,0.0,0.0,23.4,15.33,6.57,45.99,FAR_RIGHT,37.6,52.6,-15.0,bastion_rn
1705,23.42,32.75,0.0,43.83,6.45,23.83,17.59,31.21,27.39,0.0,23.78,17.11,15.96,0.0,0.0,0.0,25.18,15.69,6.89,45.69,CENTRE,43.1,48.7,-5.6,bastion_rn
1801,26.72,33.01,0.0,39.94,0.0,32.14,13.5,28.4,25.0,39.36,20.68,13.93,18.35,0.0,0.0,0.0,27.85,15.12,8.14,41.68,CENTRE,46.5,44.9,1.6,bascule_possible
1802,31.05,20.83,6.36,41.76,1.87,22.6,12.29,27.61,32.75,33.26,13.78,16.42,20.07,0.0,0.0,0.0,29.52,13.33,6.19,44.43,LEFT,45.3,47.3,-2.0,rn_resistant
1803,18.18,31.2,5.84,44.78,1.94,32.6,7.77,34.0,35.56,41.14,0.4,18.54,16.56,0.0,0.0,0.0,24.36,13.58,7.11,47.41,CENTRE,38.5,51.7,-13.2,bastion_rn
1901,39.61,0.0,28.64,31.75,11.86,19.32,20.62,18.2,40.98,32.51,15.19,10.64,21.04,0.0,0.0,0.0,34.09,11.21,8.11,36.79,LEFT,47.6,42.6,5.0,bascule_possible
1902,28.67,0.0,35.04,36.28,9.68,21.83,23.28,21.82,30.0,30.63,27.85,9.97,19.08,0.0,0.0,0.0,30.66,13.32,8.47,39.1,RIGHT,38.5,49.6,-11.1,bastion_rn
2101,34.59,27.48,12.17,25.77,7.93,32.63,14.8,18.05,27.87,36.01,24.17,9.81,21.89,0.0,0.0,0.0,38.06,18.13,9.33,29.74,LEFT,54.5,34.5,20.0,bastion_gauche
2102,31.18,24.65,8.03,36.14,0.0,27.04,14.95,27.03,24.66,32.57,28.17,13.93,21.89,0.0,0.0,0.0,33.69,14.38,7.63,38.61,LEFT,48.2,42.9,5.3,bascule_possible
2103,33.4,23.81,7.35,35.44,11.85,25.65,8.41,27.77,34.92,32.01,14.68,17.23,23.79,0.0,0.0,0.0,35.48,13.48,6.41,39.25,LEFT,49.7,41.8,7.9,bascule_probable
2104,22.47,0.0,35.2,42.33,8.4,16.04,30.16,26.87,23.38,25.86,35.49,14.09,16.77,0.0,0.0,0.0,25.35,12.86,7.32,46.34,RIGHT,32.3,55.7,-23.4,bastion_rn
2105,20.7,31.38,2.62,45.31,3.39,26.83,20.24,28.62,19.96,37.15,24.89,17.14,14.9,0.0,0.0,0.0,24.49,15.14,8.34,44.69,FAR_RIGHT,40.3,51.0,-10.7,bastion_rn
2201,34.91,33.8,5.54,25.75,11.28,32.16,8.91,15.93,36.7,41.2,11.11,7.4,22.77,0.0,0.0,0.0,41.95,16.99,6.37,29.68,CENTRE,56.7,32.9,23.8,bastion_gauche
2202,26.54,33.61,7.77,30.96,2.62,36.91,10.23,21.06,28.89,38.85,20.34,9.59,19.27,0.0,0.0,0.0,33.93,17.59,7.64,34.72,CENTRE,48.9,39.0,9.9,bascule_probable
2203,23.62,14.21,31.96,28.57,0.79,18.67,41.69,14.27,15.93,37.26,38.52,6.76,17.78,0.0,0.0,0.0,29.63,16.01,9.57,37.65,RIGHT,41.1,42.8,-1.7,rn_resistant
